district_code,province,federal_electoral_district,population,electors,area_km2,square_x,square_y
10001,NL,Avalon,81540,66653,7303,48,3
10002,NL,Bonavista—Burin—Trinity,76704,61088,18961,47,3
10003,NL,Coast of Bays—Central—Notre Dame,78092,63621,43596,46,3
10004,NL,Labrador,26728,20084,294330,44,2
10005,NL,Long Range Mountains,87592,70272,41606,46,2
10006,NL,St. John's East,81936,64137,363,48,2
10007,NL,St. John's South—Mount Pearl,81944,66020,503,49,3
11001,PE,Cardigan,36005,27958,2658,50,5
11002,PE,Charlottetown,34562,26400,46,49,5
11003,PE,Egmont,34598,26908,1527,47,5
11004,PE,Malpeque,35039,27677,1663,48,5
12001,NS,Cape Breton—Canso,75247,60238,10039,49,7
12002,NS,Central Nova,74597,58513,10347,48,7
12003,NS,Cumberland—Colchester,82321,64065,8269,47,7
12004,NS,Dartmouth—Cole Harbour,91212,71949,102,49,9
12005,NS,Halifax,92643,68609,244,49,10
12006,NS,Halifax West,87275,68266,260,48,9
12007,NS,Kings—Hants,83306,65347,4440,48,8
12008,NS,Sackville—Preston—Chezzetcook,85583,66578,777,49,8
12009,NS,South Shore—St. Margarets,92561,75086,9855,48,10
12010,NS,Sydney—Victoria,73328,58932,5085,50,7
12011,NS,West Nova,83654,65963,9965,47,10
13001,NB,Acadie—Bathurst,79340,66374,5183,45,6
13002,NB,Beauséjour,80416,65927,4214,46,7
13003,NB,Fredericton,81759,59284,1678,44,8
13004,NB,Fundy Royal,79331,62270,7686,45,8
13005,NB,Madawaska—Restigouche,62540,50442,11962,44,6
13006,NB,Miramichi—Grand Lake,59343,47813,17420,45,7
13007,NB,Moncton—Riverview—Dieppe,89484,70357,168,46,8
13008,NB,New Brunswick Southwest,66197,51004,10770,44,9
13009,NB,Saint John—Rothesay,82129,61223,457,45,9
13010,NB,Tobique—Mactaquac,70632,53129,15130,44,7
24001,QC,Abitibi—Baie-James—Nunavik—Eeyou,85475,62881,854754,30,8
24002,QC,Abitibi—Témiscamingue,102794,82695,37429,26,9
24003,QC,Ahuntsic-Cartierville,110473,82863,22,34,7
24004,QC,Alfred-Pellan,98045,77898,116,36,5
24005,QC,Argenteuil—La Petite-Nation,94208,78234,5412,30,9
24006,QC,Avignon—La Mitis—Matane—Matapédia,74547,60721,14723,44,5
24007,QC,Beauce,106337,84518,4242,41,6
24020,QC,Beauport—Côte-de-Beaupré—Île d’Orléans—Charlevoix,92496,75750,11634,43,3
24008,QC,Beauport—Limoilou,92944,78601,35,43,4
24009,QC,Bécancour—Nicolet—Saurel,93779,77971,2870,39,5
24010,QC,Bellechasse—Les Etchemins—Lévis,112385,91899,3293,41,5
24011,QC,Beloeil—Chambly,109955,90271,402,38,6
24012,QC,Berthier—Maskinongé,98590,82109,4420,33,5
24015,QC,Bourassa,100286,70444,14,35,6
24016,QC,Brome—Missisquoi,98616,84274,3035,36,10
24017,QC,Brossard—Saint-Lambert,100828,83194,58,36,9
24019,QC,Charlesbourg—Haute-Saint-Charles,103331,83648,118,42,3
24021,QC,Châteauguay—Lacolle,92169,75157,940,33,10
24022,QC,Chicoutimi—Le Fjord,81501,66674,2819,43,2
24023,QC,Compton—Stanstead,101946,81405,4815,40,8
24024,QC,Dorval—Lachine—LaSalle,106886,85471,51,33,9
24025,QC,Drummond,98681,80750,1670,39,6
24026,QC,Gaspésie—Les Îles-de-la-Madeleine,78833,65717,17145,45,5
24027,QC,Gatineau,106424,83651,125,29,9
24028,QC,Hochelaga,103436,82245,20,37,7
24029,QC,Honoré-Mercier,102587,78428,39,37,5
24030,QC,Hull—Aylmer,103447,78679,65,28,9
24031,QC,Joliette,100683,85545,9102,32,6
24032,QC,Jonquière,87596,72605,42453,42,2
24033,QC,La Pointe-de-l'Île,103512,84335,43,37,6
24034,QC,La Prairie,99811,81637,295,35,10
28035,QC,Lac-Saint-Jean,105783,85092,60405,34,4
24036,QC,Lac-Saint-Louis,105622,85663,81,32,9
24037,QC,LaSalle—Émard—Verdun,105317,83876,19,34,9
24038,QC,Laurentides—Labelle,111357,95907,19694,31,7
24039,QC,Laurier—Sainte-Marie,107034,83730,11,37,8
24040,QC,Laval—Les Îles,103053,81562,47,33,7
24042,QC,Lévis—Lotbinière,107593,86700,2123,40,5
