,fips,middle_x,middle_y,name,map_path,state,fips_integer
0,06083,0.16,0.43,Santa Barbara,"M22.9,250.9 L26.5,252.1 L24.3,253.1 L23.3,251.5 Z M28.8,251.4 L32.2,253.5 L28.2,252.9 L27.7,250.8 Z M37.3,239.1 L37.4,239.1 L37.7,239.2 L35.8,246.4 L34.9,247.6 L26.6,243.7 L21.9,242.8 L20.2,239.9 L21.9,233.6 L29.9,233.5 Z",CA,6083
1,12087,0.35,0.80,Monroe,"M593.5,425.6 L590.2,427.3 L584.4,416.3 L588.0,415.8 L591.5,415.1 L592.8,422.6 Z M583.6,416.5 L583.4,416.7 L583.3,416.5 L583.5,416.5 Z M583.8,416.4 L584.1,416.7 L583.7,416.5 L583.8,416.5 Z M593.9,425.7 L593.8,425.7 L593.8,425.7 L593.8,425.7 Z M594.5,426.1 L594.3,426.0 L594.3,425.8 L594.5,425.6 Z M594.9,426.0 L594.6,425.9 L594.5,426.0 L594.6,425.8 Z M595.5,426.0 L595.5,426.0 L595.5,426.0 Z M595.9,425.8 L596.8,426.3 L595.6,426.0 L595.3,425.6 Z M596.0,425.7 L596.0,425.7 L596.0,425.7 L596.0,425.8 Z M596.3,425.4 L596.1,425.5 L596.1,425.7 L596.1,425.5 Z M596.7,425.4 L596.6,425.5 L596.4,425.4 L596.6,425.3 Z M596.6,425.1 L596.6,425.1 L596.7,425.2 L596.5,425.3 Z M597.0,424.8 L597.0,424.8 L597.0,424.8 L597.0,424.8 Z M597.1,424.7 L597.1,424.7 L597.1,424.7 L597.1,424.7 Z M597.4,424.8 L597.1,424.8 L597.2,424.7 L597.4,424.6 Z M599.0,424.3 L598.4,424.8 L598.5,424.1 L598.6,424.1 Z M598.9,424.2 L599.0,424.2 L599.0,424.3 L599.0,424.3 L598.9,424.2 Z M599.0,424.3 L599.0,424.3 L599.0,424.3 L599.0,424.3 Z M599.0,424.0 L599.6,424.1 L599.1,424.2 L599.0,424.1 Z M599.0,424.0 L599.0,424.0 L599.0,423.9 L599.0,423.9 Z M600.0,423.6 L600.3,424.2 L599.6,423.6 L599.8,423.5 Z M602.1,421.2 L602.3,421.3 L602.3,421.3 L602.4,421.3 L598.5,428.8 L601.9,421.3 Z M595.2,425.8 L595.1,425.8 L595.1,425.8 Z M595.0,425.9 L595.0,425.8 L595.1,425.8 L595.1,425.8 Z",FL,12087
2,26033,0.62,0.55,Chippewa,"M503.7,83.3 L504.0,85.8 L501.2,85.9 L501.9,83.0 Z M497.5,85.7 L496.9,85.8 L496.2,85.7 L496.0,85.7 L494.2,83.2 L485.5,84.2 L483.8,83.0 L483.0,75.9 L482.8,74.2 L486.0,73.5 L485.4,77.9 L491.2,79.0 L496.3,76.8 L496.9,81.3 L500.0,85.6 L497.5,85.8 Z",MI,26033
3,01097,0.69,0.81,Mobile,"M474.3,345.7 L473.9,354.0 L469.3,352.0 L468.8,348.2 L468.5,346.2 L468.3,344.0 L468.0,341.8 L467.8,340.6 L467.7,339.8 L469.2,339.2 L474.3,338.5 L474.9,340.3 Z M474.5,346.5 L474.4,346.3 L474.4,346.1 L474.6,346.3 Z",AL,1097
4,08014,0.55,0.54,Broomfield,"M240.4,191.3 L240.0,191.2 L240.2,190.9 L240.3,190.9 L240.3,190.9 L240.3,190.9 Z M240.8,190.2 L240.8,190.2 L240.9,190.2 L240.9,190.2 Z M242.6,189.1 L242.6,189.1 L242.7,189.1 L242.7,189.2 Z M242.4,189.5 L242.8,189.7 L242.0,189.9 L241.5,191.0 L240.9,191.2 L240.3,190.9 L240.3,190.9 L241.2,190.5 L241.3,190.2 L241.2,190.2 L241.4,190.0 L241.6,189.5 L241.6,189.5 Z M240.3,190.9 L240.3,190.9 L240.3,190.9 Z",CO,8014
5,55003,0.44,0.13,Ashland,"M417.3,82.8 L418.6,80.0 L421.6,82.5 L421.8,88.6 L424.8,89.9 L425.0,92.8 L421.6,93.0 L420.6,93.0 L417.7,93.2 L417.5,90.3 L417.5,90.3 L417.1,83.0 Z",WI,55003
6,25007,0.53,0.30,Dukes,"M672.0,127.0 L676.3,127.4 L673.7,128.3 L672.6,129.5 Z",MA,25007
7,25019,0.30,0.58,Nantucket,"M681.5,125.8 L682.7,127.1 L680.7,128.2 L681.1,127.3 Z",MA,25019
8,12037,0.50,0.45,Franklin,"M527.7,352.8 L526.0,356.1 L520.8,359.9 L517.0,358.9 L519.6,356.7 L519.2,354.0 L519.4,353.2 L526.2,352.4 L526.7,352.7 L527.4,352.5 L527.4,352.6 L527.5,352.6 L527.5,352.9 Z",FL,12037
9,41007,0.52,0.48,Clatsop,"M32.9,47.8 L34.8,41.0 L41.1,42.4 L41.5,44.1 L41.1,45.8 L39.7,50.0 L35.7,48.9 Z",OR,41007
10,08031,0.15,0.50,Denver,"M240.6,195.6 L240.6,195.6 L240.6,195.6 L240.6,195.6 Z M240.9,195.3 L240.9,195.3 L240.9,195.3 L240.9,195.3 Z M240.9,195.3 L240.9,195.3 L240.9,195.3 L240.9,195.3 Z M242.9,196.0 L242.9,196.0 L242.9,196.0 L242.9,196.0 Z M240.9,195.6 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 Z M241.0,195.1 L241.2,193.0 L241.3,193.0 L246.9,193.0 L243.3,194.1 L243.5,194.8 L243.1,195.0 L243.1,195.0 L243.1,195.0 L243.1,195.0 L243.1,195.0 L243.0,195.0 L242.8,196.0 L241.0,195.7 L241.0,195.7 L241.0,195.7 Z M241.0,195.9 L241.0,195.8 L241.0,195.8 L240.9,195.8 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.8 Z M241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 Z M241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 Z",CO,8031
11,08005,0.50,0.48,Arapahoe,"M242.7,195.2 L242.8,195.2 L242.8,195.5 L242.7,195.4 Z M242.6,195.2 L242.6,195.2 L242.7,195.2 L242.6,195.2 Z M242.9,195.1 L242.9,195.0 L242.9,195.0 L242.9,195.1 Z M241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L242.8,196.0 L243.1,195.0 L243.1,195.0 L243.1,195.0 L243.3,194.1 L249.7,194.7 L258.5,195.5 L258.3,197.4 L258.2,198.4 L258.2,198.4 L258.1,198.4 L248.9,197.6 L245.9,197.3 L243.1,197.0 L240.9,196.8 L240.9,196.8 L241.0,195.9 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.8 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 L241.0,195.7 Z M242.9,196.0 L242.9,196.0 L242.9,196.0 L242.9,196.0 Z M242.5,194.7 L242.6,194.6 L242.7,194.5 L242.7,194.7 L242.6,194.7 L242.7,194.7 L242.7,194.7 L242.7,194.7 L242.6,194.7 L242.6,194.7 L242.6,194.7 Z",CO,8005
12,36085,0.55,0.50,Richmond,"M635.0,151.1 L635.0,152.5 L633.5,153.8 L633.8,151.3 Z",NY,36085
13,34029,0.57,0.95,Ocean,"M637.8,159.7 L638.3,166.0 L635.2,169.9 L635.1,169.8 L635.0,169.7 L634.5,166.1 L631.3,161.6 L632.7,159.7 Z",NJ,34029
14,45019,0.21,0.65,Charleston,"M592.2,288.5 L586.3,296.4 L585.4,294.9 L588.1,289.8 L590.6,287.8 L592.1,288.6 Z M580.1,301.9 L579.9,301.5 L579.8,301.6 L578.0,298.4 L578.3,296.1 L581.8,296.1 L581.3,292.8 L582.7,292.9 L584.9,295.0 L586.1,297.3 L581.4,301.1 L580.9,301.2 Z M593.3,288.9 L593.1,288.6 L592.9,288.5 L593.3,288.6 Z",SC,45019
15,53033,0.21,0.43,King,"M57.9,28.3 L59.0,26.5 L60.2,20.9 L64.7,22.3 L74.4,25.0 L74.6,26.3 L73.6,28.0 L69.3,29.9 L68.3,35.5 L61.2,31.9 Z",WA,53033
16,53055,0.46,0.46,San Juan,"M59.5,3.4 L58.8,9.1 L55.7,6.5 L56.3,4.2 Z",WA,53055
17,23015,0.50,0.47,Lincoln,"M676.7,81.0 L675.8,84.4 L672.8,83.6 L672.7,82.3 L671.7,82.3 L671.6,82.3 L671.6,82.2 L671.7,81.9 L671.5,81.9 L671.4,81.3 L671.4,80.3 L672.0,77.7 L673.4,76.2 L674.1,76.1 L674.6,76.1 L677.2,80.0 Z",ME,23015
