"'"
"Transposition of votes by federal electoral district (FED) from the 2003 to the 2013 Representation Order"
"Voting results - May 2, 2011 general election"

"Province and territory numeric code","2013 FED Number","2013 FED Name","2003 FED Number from which the 2013 FED Number is constituted","2003 FED from which the 2013 FED Name is constituted","2013 FED - Population","2003 FED - 2011 Population","Population transferred to 2013 FED","Polling divisions transferred - Poll type","Polling divisions transferred - % transferred","Polling divisions transferred - From no.","Polling divisions transferred - To no.","Polling divisions transferred - Total polls","Electors on lists","All votes","Conservative votes","NDP-New Democratic Party votes","Liberal votes","Bloc Québécois votes","Green Party votes","Other votes"
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"A.P.",9.1,602.0,617.0,2,0,14,4,1,9,0,0,0
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"A.P.",38,609.0,609.0,1,0,45,30,5,10,0,1,0
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"A.P.",67,619.0,619.0,1,0,46,18,4,24,0,0,0
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"A.P.",100,603.0,621.0,15,0,2335,1046,194,1069,0,15,11
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"M.P.",33,508.0,508.0,1,47,33,15,3,14,0,0,1
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"M.P.",67,507.0,507.0,1,57,49,23,2,21,0,1,1
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"M.P.",100,501.0,509.0,6,571,293,86,21,174,0,6,6
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"O.P.",0.4,159.0,159.0,1,1,1,0,0,0,0,0,0
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"O.P.",100,40.0,210.0,154,47229,23403,9851,3592,9656,0,126,178
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"SVR1",75,.,.,".",287,102,64,8,27,0,1,1
10,10001,"Avalon",10001,"Avalon",81540,78908,59548,"SVR2",75,.,.,".",0,478,203,28,241,0,3,2
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"A.P.",43,612.0,612.0,1,0,121,30,84,8,0,0,0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"A.P.",77,603.0,603.0,1,0,236,54,160,19,0,2,0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"A.P.",100,610.0,610.0,1,0,479,98,343,32,0,6,0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"M.P.",100,501.0,501.0,1,222,124,37,54,30,0,3,0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"O.P.",71,41.1,41.1,1,236,105,19,78,6,0,2,-0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"O.P.",100,39.0,155.0,36,15618,7488,1551,5441,443,0,53,0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"SVR1",21,.,.,".",100,42,21,11,8,0,2,0
10,10001,"Avalon",10006,"St. John's East",81540,100559,21992,"SVR2",21,.,.,".",0,232,64,135,29,0,4,0
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"A.P.",33,619.0,619.0,1,0,23,9,2,12,0,0,0
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"A.P.",91,602.0,617.0,2,0,143,39,7,92,0,4,1
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"A.P.",100,600.0,618.0,3,0,252,72,19,158,0,1,2
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"M.P.",33,507.0,507.0,1,29,24,12,1,11,0,0,1
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"M.P.",100,500.0,500.0,1,89,51,15,5,30,0,0,1
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"O.P.",100,1.0,61.0,56,13997,7633,2486,1050,3988,0,49,60
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"SVR1",22,.,.,".",85,30,19,2,8,0,0,0
10,10002,"Bonavista--Burin--Trinity",10001,"Avalon",76704,78908,16898,"SVR2",22,.,.,".",0,141,60,8,71,0,1,1
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"A.P.",0.1,609.0,609.0,1,0,0,0,0,0,0,0,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"A.P.",64,604.0,604.0,1,0,17,9,3,5,0,1,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"A.P.",100,605.0,615.0,6,0,465,107,62,290,0,6,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"M.P.",33,500.0,500.0,1,41,24,6,0,17,0,0,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"M.P.",100,502.0,506.0,3,342,177,48,7,120,0,2,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"O.P.",1.0,130.0,130.0,1,1,1,0,0,0,0,0,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"O.P.",100,66.0,229.1,84,22953,8910,2449,1357,5013,0,91,0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"SVR1",34,.,.,".",159,53,31,4,18,0,1,-0
10,10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor",76704,84735,27780,"SVR2",34,.,.,".",0,182,52,13,115,0,1,0
10,10002,"Bonavista--Burin--Trinity",10005,"Random - Burin - St. George's",76704,69192,32026,"A.P.",100,614.0,614.0,1,0,33,14,2,17,0,0,-0
10,10002,"Bonavista--Burin--Trinity",10005,"Random - Burin - St. George's",76704,69192,32026,"A.P.",100,612.0,620.0,7,0,610,202,60,342,0,6,0
10,10002,"Bonavista--Burin--Trinity",10005,"Random - Burin - St. George's",76704,69192,32026,"M.P.",100,501.0,503.0,3,278,200,57,6,135,0,2,0
10,10002,"Bonavista--Burin--Trinity",10005,"Random - Burin - St. George's",76704,69192,32026,"O.P.",94,117.0,117.0,1,176,111,45,16,49,0,1,0
10,10002,"Bonavista--Burin--Trinity",10005,"Random - Burin - St. George's",76704,69192,32026,"O.P.",100,117.1,219.0,97,25111,11439,3552,1653,6135,0,99,0
