County and state name,fips,Median_value_of_owner-occupied_housing_units_2009-2013
"Abbeville County, SC",45001,91200
"Acadia Parish, LA",22001,88600
"Accomack County, VA",51001,153600
"Ada County, ID",16001,183600
"Adair County, IA",19001,90900
"Adair County, KY",21001,78600
"Adair County, MO",29001,102600
"Adair County, OK",40001,75300
"Adams County, CO",8001,186600
"Adams County, IA",19003,85200
"Adams County, ID",16003,150500
"Adams County, IL",17001,104200
"Adams County, IN",18001,116100
"Adams County, MS",28001,80900
"Adams County, ND",38001,106300
"Adams County, NE",31001,98000
"Adams County, OH",39001,92900
"Adams County, PA",42001,198200
"Adams County, WA",53001,133600
"Adams County, WI",55001,135600
"Addison County, VT",50001,234500
"Aiken County, SC",45003,124600
"Aitkin County, MN",27001,168700
"Alachua County, FL",12001,167900
"Alamance County, NC",37001,137000
"Alameda County, CA",6001,493800
"Alamosa County, CO",8003,137300
"Albany County, NY",36001,209300
"Albany County, WY",56001,201500
"Albemarle County, VA",51003,319200
"Alcona County, MI",26001,102800
"Alcorn County, MS",28003,84300
"Aleutians East Borough, AK",2013,118500
"Aleutians West Census Area, AK",2016,218400
"Alexander County, IL",17003,54400
"Alexander County, NC",37003,121300
"Alexandria city, VA",51510,476700
"Alfalfa County, OK",40003,62600
"Alger County, MI",26003,117100
"Allamakee County, IA",19005,114400
"Allegan County, MI",26005,140200
"Allegany County, MD",24001,121300
"Allegany County, NY",36003,69600
"Alleghany County, NC",37005,156100
"Alleghany County, VA",51005,114600
"Allegheny County, PA",42003,122400
"Allen County, IN",18003,112700
"Allen County, KS",20001,63300
"Allen County, KY",21003,96800
"Allen County, OH",39003,105000
"Allen Parish, LA",22003,79600
"Allendale County, SC",45005,65400
"Alpena County, MI",26007,96400
"Alpine County, CA",6003,333600
"Amador County, CA",6005,270500
"Amelia County, VA",51007,180700
"Amherst County, VA",51009,148700
"Amite County, MS",28005,70300
"Anchorage Municipality, AK",2020,282800
"Anderson County, KS",20003,96300
"Anderson County, KY",21005,132300
"Anderson County, SC",45007,123400
"Anderson County, TN",47001,127000
"Anderson County, TX",48001,82000
"Andrew County, MO",29003,127700
"Andrews County, TX",48003,88600
"Androscoggin County, ME",23001,154800
"Angelina County, TX",48005,84800
"Anne Arundel County, MD",24003,340000
"Anoka County, MN",27003,192300
"Anson County, NC",37007,79400
"Antelope County, NE",31003,74300
"Antrim County, MI",26009,141300
"Apache County, AZ",4001,83100
"Appanoose County, IA",19007,77600
"Appling County, GA",13001,75600
"Appomattox County, VA",51011,145400
"Aransas County, TX",48007,130900
"Arapahoe County, CO",8005,230700
"Archer County, TX",48009,100300
"Archuleta County, CO",8007,279700
"Arenac County, MI",26011,90200
"Arkansas County, AR",5001,75500
"Arlington County, VA",51013,584600
"Armstrong County, PA",42005,94100
"Armstrong County, TX",48011,94100
"Aroostook County, ME",23003,90800
"Arthur County, NE",31005,76400
"Ascension Parish, LA",22005,167400
"Ashe County, NC",37009,150900
"Ashland County, OH",39005,122100
"Ashland County, WI",55003,107400
"Ashley County, AR",5003,62500
"Ashtabula County, OH",39007,110800
"Asotin County, WA",53003,173600
"Assumption Parish, LA",22007,98100
"Atascosa County, TX",48013,82900
"Atchison County, KS",20005,87000
"Atchison County, MO",29005,76400
"Athens County, OH",39009,115500
"Atkinson County, GA",13003,75000
"Atlantic County, NJ",34001,237400
"Atoka County, OK",40005,79800
"Attala County, MS",28007,71200
"Audrain County, MO",29007,90500
"Audubon County, IA",19009,71100
"Auglaize County, OH",39011,129400
"Augusta County, VA",51015,194600
"Aurora County, SD",46003,68800
"Austin County, TX",48015,150000
"Autauga County, AL",1001,136200
"Avery County, NC",37011,140800
"Avoyelles Parish, LA",22009,86600
"Baca County, CO",8009,73500
"Bacon County, GA",13005,77000
"Bailey County, TX",48017,56500
"Baker County, FL",12003,124300
"Baker County, GA",13007,72700
"Baker County, OR",41001,147700
"Baldwin County, AL",1003,168600
"Baldwin County, GA",13009,103900
"Ballard County, KY",21007,94400
"Baltimore city, MD",24510,157900
"Baltimore County, MD",24005,253300
"Bamberg County, SC",45009,74700
"Bandera County, TX",48019,143600
"Banks County, GA",13011,140200
"Banner County, NE",31007,85000
"Bannock County, ID",16005,142600
"Baraga County, MI",26013,84000
"Barber County, KS",20007,61900
"Barbour County, AL",1005,89200
"Barbour County, WV",54001,87900
"Barnes County, ND",38003,87900
"Barnstable County, MA",25001,366700
"Barnwell County, SC",45011,72400
"Barren County, KY",21009,105400
