Country,abbrev2,abbrev3,Pct Internet users
Albania,AL,ALB,60.10
Andorra,AD,AND,94.00
Austria,AT,AUT,86.80
Belarus,BY,BLR,54.20
Belgium,BE,BEL,90.40
Bosnia-Herzegovina,BA,BIH,67.90
Bulgaria,BG,BGR,59.00
Croatia,HR,HRV,70.90
Cyprus,CY,CYP,68.60
Czech Republic,CZ,CZE,78.30
Denmark,DK,DNK,97.30
Estonia,EE,EST,83.30
Faroe Islands,FO,FRO,90.00
Finland,FI,FIN,97.10
France,FR,FRA,83.30
Germany,DE,DEU,88.60
Gibraltar,GI,GIB,70.80
Greece,GR,GRC,59.90
Guernsey & Alderney,GG,GGY,73.30
Hungary,HU,HUN,74.50
Iceland,IS,ISL,96.50
Ireland,IE,IRL,79.00
Italy,IT,ITA,58.50
Jersey,JE,JEY,47.50
Kosovo,KR,KOR,76.60
Latvia,LV,LVA,75.20
Liechtenstein,LI,LIE,92.10
Lithuania,LT,LTU,68.50
Luxembourg,LU,LUX,98.00
Macedonia,MO,MAC,61.20
Malta,MT,MLT,68.90
"Man, Isle of",MT,MLT,45.40
Moldova,FM,FSM,48.80
Monaco,MC,MCO,92.60
Montenegro,ME,MNE,56.80
Netherlands,NL,NLD,95.70
Norway,NO,NOR,95.10
Poland,PL,POL,66.90
Portugal,PT,PRT,64.90
Romania,RO,ROU,51.40
Russia,RO,ROU,61.40
San Marino,SM,SMR,50.80
Serbia,RS,SRB,65.30
Slovakia,SK,SVK,82.10
Slovenia,SI,SVN,75.50
Spain,ES,ESP,74.80
Svalbard & Jan Mayen,SS,SSD,
Sweden,SE,SWE,94.80
Switzerland,CH,CHE,89.10
Turkey,TR,TUR,56.70
Ukraine,UA,UKR,41.80
United Kingdom,GB,GBR,89.80
Vatican City State,VU,VUT,57.00
