State,Flower
Alabama,Camellia
Alaska,Forget-me-not
Arizona,Saguaro cactus blossom
Arkansas,Apple blossom
California,California poppy
Colorado,Rocky Mountain columbine
Connecticut,Mountain laurel
Delaware,Peach blossom
Florida,Orange blossom
Georgia,Cherokee rose
Hawaii,Hawaiian hibiscus
Idaho,"Syringa, mock orange"
Illinois,Violet
Indiana,Peony
Iowa,Wild prairie rose
Kansas,Sunflower
Kentucky,Goldenrod
Louisiana,Magnolia
Maine,White pine cone and tassel
Maryland,Black-eyed susan
Massachusetts,Mayflower
Michigan,Apple blossom
Minnesota,Pink and white lady's slipper
Mississippi,Magnolia
Missouri,Hawthorn
Montana,Bitterroot
Nebraska,Goldenrod
Nevada,Sagebrush
New Hampshire,Purple lilac
New Jersey,Violet
New Mexico,Yucca flower
New York,Rose
North Carolina,Flowering dogwood
North Dakota,Wild prairie rose
Ohio,Scarlet carnation
Oklahoma,Oklahoma rose
Oregon,Oregon grape
Pennsylvania,Mountain laurel
Rhode Island,Violet
South Carolina,Yellow jessamine
South Dakota,Pasque flower
Tennessee,Iris
Texas,Bluebonnet
Utah,Sego lily
Vermont,Red clover
Virginia,American dogwood
Washington,Coast rhododendron
West Virginia,Rhododendron
Wisconsin,Wood violet
Wyoming,Indian paintbrush
